Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000070570,Slc17a7,Gene Expression,0.8871424936292674,0.0,0.0,385342,33.90984837993825,5186
ENSMUSG00000090121,Abhd12b,Gene Expression,0.8677341690736003,0.0,0.0,4121,0.5662110380349381,481
ENSMUSG00000039728,Slc6a5,Gene Expression,0.863157182859442,0.0,0.0,15233,2.7371760300414927,1700
ENSMUSG00000044681,Cnpy1,Gene Expression,0.851556218818265,0.0,0.0,8970,1.0147499162552487,1129
ENSMUSG00000004630,Pcp2,Gene Expression,0.8383291720524745,0.0,0.0,8629,1.1868131617577602,1108
ENSMUSG00000053310,Nrgn,Gene Expression,0.8380445011418219,0.0,0.0,66224,6.072220417216527,3761
ENSMUSG00000048644,Ctxn1,Gene Expression,0.8249867021949051,0.0,0.0,120461,11.848355025352687,5437
ENSMUSG00000059213,Ddn,Gene Expression,0.8236013088464652,0.0,0.0,24015,2.57000434398499,2821
ENSMUSG00000032532,Cck,Gene Expression,0.8190074051255597,0.0,0.0,147804,13.812670690104685,5182
ENSMUSG00000032368,Zic1,Gene Expression,0.8150674214912986,0.0,0.0,55675,6.151696887035069,3865
ENSMUSG00000055333,Fat2,Gene Expression,0.813894903889159,0.0,0.0,12138,1.1162227030735292,1128
ENSMUSG00000038331,Satb2,Gene Expression,0.8127839202310112,0.0,0.0,13041,1.1312037882203652,1955
ENSMUSG00000021609,Slc6a3,Gene Expression,0.8085281856975965,0.0,0.0,6758,1.1362560158986745,358
ENSMUSG00000024617,Camk2a,Gene Expression,0.8076070171059221,0.0,0.0,100454,11.037185157912559,5511
ENSMUSG00000032174,Icam5,Gene Expression,0.8063165541196573,0.0,0.0,32470,2.834933188294248,3205
ENSMUSG00000041261,Car8,Gene Expression,0.7960517508539361,0.0,0.0,34295,3.8421818501586213,2426
ENSMUSG00000046093,Hpcal4,Gene Expression,0.7946990225633095,0.0,0.0,83603,8.441361669992896,5211
ENSMUSG00000027296,Itpka,Gene Expression,0.7939327189022931,0.0,0.0,55017,5.106608926039572,3827
ENSMUSG00000031654,Cbln1,Gene Expression,0.7898596508631015,0.0,0.0,83027,8.443302719548614,4371
ENSMUSG00000058624,Gda,Gene Expression,0.7884606413149525,0.0,0.0,27216,2.3964413407634244,3127
ENSMUSG00000050896,Rtn4rl2,Gene Expression,0.7853036042798002,0.0,0.0,17209,1.4071087333415222,2093
ENSMUSG00000037984,Neurod6,Gene Expression,0.7847045816259051,0.0,0.0,17051,1.3595069672137872,2194
ENSMUSG00000018593,Sparc,Gene Expression,0.783189793406638,0.0,0.0,165080,27.461006604881817,6909
ENSMUSG00000056648,Hoxb8,Gene Expression,0.7829303910656098,0.0,0.0,1735,0.347813728919853,279
ENSMUSG00000030307,Slc6a11,Gene Expression,0.7789016060931876,0.0,0.0,160081,24.258765858527454,6708
ENSMUSG00000005716,Pvalb,Gene Expression,0.7760500561392063,0.0,0.0,153948,20.54156608216751,5709
ENSMUSG00000067879,Vxn,Gene Expression,0.7749329345086836,0.0,0.0,58124,5.218595657959491,4417
ENSMUSG00000026452,Syt2,Gene Expression,0.7742331611205641,0.0,0.0,24196,3.7325106391388347,4019
ENSMUSG00000085007,Gm11549,Gene Expression,0.7735821560837595,0.0,0.0,6282,0.5087575171312156,1390
ENSMUSG00000032021,Crtam,Gene Expression,0.7735769713239892,0.0,0.0,5798,0.5630660461178528,873
ENSMUSG00000038255,Neurod2,Gene Expression,0.7719196665901047,0.0,0.0,31279,2.962288691273184,3401
ENSMUSG00000059456,Ptk2b,Gene Expression,0.7707653491689432,0.0,0.0,29662,2.558677563172972,3403
ENSMUSG00000038805,Six3,Gene Expression,0.7701399359473512,0.0,0.0,11468,1.319001903104762,1739
ENSMUSG00000020950,Foxg1,Gene Expression,0.7661086909603135,0.0,0.0,12946,1.2714830549609004,2519
ENSMUSG00000047507,Baiap3,Gene Expression,0.7645381329592287,0.0,0.0,20935,2.398800534979476,2705
ENSMUSG00000024985,Tcf7l2,Gene Expression,0.7626712915296381,0.0,0.0,13032,1.9837342437924101,2520
ENSMUSG00000032936,Camkv,Gene Expression,0.7602557972143553,0.0,0.0,50862,5.066686017864426,4721
ENSMUSG00000002930,Ppp1r17,Gene Expression,0.7584032032600027,0.0,0.0,17257,1.7217804372032746,1499
ENSMUSG00000032517,Mobp,Gene Expression,0.7542792446401212,0.0,0.0,197984,46.75293677719895,6643
ENSMUSG00000041607,Mbp,Gene Expression,0.7540530100455421,0.0,0.0,364679,84.83406500960808,6887
ENSMUSG00000040380,Cbln3,Gene Expression,0.752220545548974,0.0,0.0,4623,0.4309958557453268,734
ENSMUSG00000027270,Lamp5,Gene Expression,0.7489346935344458,0.0,0.0,26719,3.0125162526877105,3449
ENSMUSG00000041046,Ramp3,Gene Expression,0.7489219758984342,0.0,0.0,11616,1.4431022589696108,2299
ENSMUSG00000057719,Sh3rf2,Gene Expression,0.7439117908543224,0.0,0.0,1101,0.12651163143849858,317
ENSMUSG00000045763,Basp1,Gene Expression,0.7419875300277473,0.0,0.0,193866,21.85554352741158,6548
ENSMUSG00000034701,Neurod1,Gene Expression,0.741638506810031,0.0,0.0,11215,1.037971029768576,1782
ENSMUSG00000022054,Nefm,Gene Expression,0.7406329742346962,0.0,0.0,137160,19.588479943943366,6305
ENSMUSG00000006764,Tph2,Gene Expression,0.7372376185639027,0.0,0.0,5562,1.1077226966460183,636
ENSMUSG00000034796,Cpne7,Gene Expression,0.7356641676691583,0.0,0.0,20085,2.429223243948571,3248
ENSMUSG00000040728,Esrp1,Gene Expression,0.7354654720209579,0.0,0.0,943,0.04557962972733735,123
ENSMUSG00000032503,Arpp21,Gene Expression,0.7352386801317631,0.0,0.0,132230,12.999298081515501,6051
ENSMUSG00000020178,Adora2a,Gene Expression,0.7344865121264854,0.0,0.0,1862,0.2307598873988236,434
ENSMUSG00000024518,Rax,Gene Expression,0.7319701531073686,0.0,0.0,1016,0.10490327096186035,115
ENSMUSG00000025221,Kcnip2,Gene Expression,0.7313608067803051,0.0,0.0,26791,2.631626179676522,3640
ENSMUSG00000028222,Calb1,Gene Expression,0.7303513390354339,0.0,0.0,112835,11.878624388990925,5397
ENSMUSG00000041773,Enc1,Gene Expression,0.7298056502553248,0.0,0.0,78045,6.9566484448908215,5241
ENSMUSG00000059173,Pde1a,Gene Expression,0.7296441372869198,0.0,0.0,17734,1.506324062281447,2821
ENSMUSG00000067786,Nnat,Gene Expression,0.7295961577980123,0.0,0.0,121560,13.15282264943094,5687
ENSMUSG00000054901,Arhgef33,Gene Expression,0.7290787374636013,0.0,0.0,7097,1.097070122619791,1335
ENSMUSG00000021948,Prkcd,Gene Expression,0.7282987272259831,0.0,0.0,19248,2.630377937411602,2878
ENSMUSG00000005583,Mef2c,Gene Expression,0.7267329558247112,0.0,0.0,27100,2.4246775594263084,3620
ENSMUSG00000036699,Zcchc12,Gene Expression,0.7264005513697649,0.0,0.0,40195,4.777056975700201,4941
ENSMUSG00000004842,Pou1f1,Gene Expression,0.7261130867331173,0.0,0.0,8088,0.3634290838258619,296
